IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass
4423,2000,1,80000000,FR,1,M,0,0,0,0,0,0,Very Highest
842,1000,1,79874500,FR,1,M,0,0,0,0,0,0,Very Highest
3683,5250,2,52664057,FR,1,M,0,0,0,0,0,0,Very Highest
6473,50,3,42000000,AL,3,M,0,0,1,0,1,1,Very Highest
247,232450,12,39509455,FR,1,F,81,77,0,0,0,0,Very Highest
7148,0,0,37400000,FR,,F,0,0,0,0,0,0,Very Highest
7013,0,0,32696000,FR,1,M,0,0,0,0,0,0,Very Highest
2206,1460,15,28157330,FR,3,M,,,0,,,0,Very Highest
3935,3705,14,26957500,AL,1,M,0,0,1,0,0,0,Very Highest
6939,0,0,26389000,FR,,M,0,0,0,0,0,0,Very Highest
5033,1000,1,26113000,FR,0,M,0,0,0,0,0,0,Very Highest
5543,500,1,23258758,FR,1,F,0,0,0,0,0,0,Very Highest
2025,41830,24,22950000,AL,1,M,18,90,1,0,1,1,Very Highest
12,555488,24,22603556,AL,2,M,50,61,1,0,0,0,Very Highest
2476,2999.98,3,22336942,FR,1,M,,,0,,,0,Very Highest
6947,0,0,21213362,AL,,F,0,0,1,0,0,0,Very Highest
5551,500,4,20000000,FR,1,M,0,0,0,0,0,0,Very Highest
3670,5370,34,19572200,AL,1,M,76,58,1,0,0,0,Very Highest
5558,500,1,19537566,AL,0,M,0,0,1,0,1,1,Very Highest
6651,7.5,1,18174188,FR,1,M,0,0,0,0,0,0,Very Highest
6989,0,0,18074630,FP,2,M,0,0,0,0,0,0,Very Highest
2945,35000,1,17742510,FR,1,M,0,0,0,0,0,0,Very Highest
6983,0,0,16565307,FP,1,M,0,0,0,0,0,0,Very Highest
4241,2500,1,16154500,FR,1,M,0,0,0,0,0,0,Very Highest
221,28433.46,7,15142200,FR,1,M,0,0,0,0,0,0,Very Highest
4257,2500,1,14305603,FR,1,M,0,0,0,0,0,0,Very Highest
595,5045,2,13781700,FR,1,M,0,0,0,0,0,0,Very Highest
5288,703,4,13536460,FR,2,M,0,0,0,0,0,0,Very Highest
4636,1566,11,13504208,AL,1,M,0,0,1,0,1,1,Very Highest
654,22075,8,13342000,FR,2,M,29,100,0,0,0,0,Very Highest
2315,4,1,13255340,FR,0,M,0,0,0,0,0,0,Very Highest
2747,12910,40,13207850,AL,2,M,85,95,1,0,1,1,Very Highest
5647,450,3,12087281,FR,1,M,0,0,0,0,0,0,Very Highest
5456,550,2,12046210,FR,1,M,0,0,0,0,0,0,Very Highest
5503,515,18,11912815,AL,1,M,0,0,1,0,1,1,Very Highest
6518,50,1,11905983,FR,1,M,0,0,0,0,0,0,Very Highest
6398,75,1,11593480,FR,1,M,0,0,0,0,0,0,Very Highest
6497,50,1,11592736,FP,2,M,0,0,0,0,0,0,Very Highest
5027,1000,1,11327000,FR,0,F,0,0,0,0,0,0,Very Highest
3385,9220,19,11273000,AL,1,M,67,100,1,0,0,0,Very Highest
1761,9169,19,11250940,AL,1,F,53,96,1,0,0,0,Very Highest
4483,1885,12,11135203,FR,0,M,0,0,0,0,0,0,Very Highest
4995,1020,17,10899590,AL,1,M,0,26,1,0,1,1,Very Highest
5816,335,3,10867500,FP,2,M,0,0,0,0,0,0,Very Highest
6074,200,1,10849620,FR,1,M,0,0,0,0,0,0,Very Highest
732,206700,6,10727468,FP,2,M,0,0,0,0,0,0,Very Highest
349,3000,1,10682000,FR,1,F,,,0,,,0,Very Highest
5152,850,5,10623111,FR,1,M,0,0,0,0,0,0,Very Highest
2679,15000,1,10618174,FR,1,M,0,0,0,0,0,0,Very Highest
5359,645.33,3,10611793,FP,2,M,0,0,0,0,0,0,Very Highest
6585,25,1,10576053,AL,3,M,0,0,1,1,0,1,Very Highest
6998,0,0,10504375,FR,1,M,0,0,0,0,0,0,Very Highest
7023,0,0,9900000,AL,,M,0,0,1,0,1,1,Very High
