IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass,ParticipationClass
404,17711.83,29,8561566,AL,1,M,75,100,1,1,1,2,Very High,Both
3198,19475,20,7962000,AL,1,M,0,0,1,1,1,2,Very High,Both
3592,6080,25,7121842,AL,3,M,0,0,1,1,1,2,Very High,Both
3085,24155,22,5500000,AL,9,M,0,0,1,1,1,2,Very High,Both
7059,0,0,4984000,FD,,M,0,0,0,1,1,2,Very High,Both
112,3109428.48,21,3205000,AL,2,M,85,81,1,1,1,2,Very High,Both
4832,1240,28,3137095,AL,1,M,100,30,1,1,1,2,Very High,Both
3245,17750,18,3064750,AL,1,M,75,67,1,1,1,2,Very High,Both
3619,5825,31,3054500,AL,1,M,33,38,1,1,1,2,Very High,Both
6147,150,2,3029500,AL,1,M,0,0,1,1,1,2,Very High,Both
3797,4490,44,3000000,AL,1,M,23,47,1,1,1,2,Very High,Both
3810,4414.38,28,2987500,AL,1,M,0,0,1,1,1,2,Very High,Both
1650,34445,8,2822400,AL,9,M,61,76,1,1,1,2,Very High,Both
6403,70,2,2792000,AL,2,M,0,0,1,1,1,2,Very High,Both
2707,14015,17,2583365,AL,1,M,23,100,1,1,1,2,Very High,Both
1843,12006,25,2400000,AL,1,M,65,65,1,1,1,2,Very High,Both
4914,1110,5,2287868,AL,2,M,100,50,1,1,1,2,Very High,Both
536,90096.6,18,2238698,AL,2,M,0,0,1,1,1,2,Very High,Both
6218,120,2,2230827,AL,4,M,100,100,1,1,1,2,Very High,Both
4016,3345,8,2058990,AL,3,M,100,100,1,1,1,2,Very High,Both
2373,75733,18,2055835,AL,1,M,70,84,1,1,1,2,Very High,Both
1564,242950,13,2051000,FD,1,M,77,100,0,1,1,2,Very High,Both
4182,2710,16,1911965,AL,1,M,56,63,1,1,1,2,Very High,Both
3839,4265,20,1779000,AL,3,M,43,100,1,1,1,2,Very High,Both
6635,15,3,1720000,AL,1,M,0,0,1,1,1,2,Very High,Both
5829,325,3,1709147,FD,1,M,0,0,0,1,1,2,Very High,Both
1109,29178.71,23,1699000,AL,1,M,4,100,1,1,1,2,Very High,Both
3623,5792,17,1647634,AL,1,M,50,100,1,1,1,2,Very High,Both
4186,2703.5,14,1600000,AL,4,F,50,54,1,1,1,2,Very High,Both
1209,61215.5,27,1589500,AL,2,M,32,58,1,1,1,2,Very High,Both
3454,8140,19,1523000,AL,1,M,0,100,1,1,1,2,Very High,Both
1676,44763,33,1500000,AL,2,M,56,75,1,1,1,2,Very High,Both
610,9670.55,10,1450775,AL,0,M,71,83,1,1,1,2,Very High,Both
6375,81,3,1420600,AL,1,M,0,0,1,1,1,2,Very High,Both
1135,36807.85,32,1400000,AL,1,M,68,87,1,1,1,2,Very High,Both
